Organism,Lineage
Klebsiella pneumoniae (strain 342),"Klebsiella, Klebsiella/Raoultella group, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Pinctada imbricata,"Pinctada, Pteriidae, Pterioidea, Pterioida, Pteriomorphia, Autobranchia, Bivalvia, Mollusca, Lophotrochozoa, Spiralia, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Tropheryma whipplei (strain TW08/27),"Tropheryma, Tropherymataceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Sulfolobus spindle-shape virus 1,NotFound
Plasmodium berghei,"Plasmodium (Vinckeia), Plasmodium, Plasmodiidae, Haemosporida, Aconoidasida, Apicomplexa, Alveolata, Sar, Eukaryota, cellular organisms"
Shewanella oneidensis (strain MR-1),"Shewanella, Shewanellaceae, Alteromonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Alternaria solani,"Alternaria sect. Porri, Alternaria, Pleosporaceae, Pleosporineae, Pleosporales, Pleosporomycetidae, Dothideomycetes, dothideomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1),"Thermoplasma, Thermoplasmataceae, Thermoplasmatales, Thermoplasmata, Candidatus Thermoplasmatota, Archaea, cellular organisms"
Trypanosoma congolense,"Nannomonas, Trypanosoma, Trypanosomatidae, Trypanosomatida, Metakinetoplastina, Kinetoplastea, Euglenozoa, Discoba, Eukaryota, cellular organisms"
Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255),"Penicillium rubens, Penicillium chrysogenum species complex, Penicillium, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Rhodopseudomonas palustris (strain BisA53),"Rhodopseudomonas, Bradyrhizobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Panicum mosaic virus (strain United States/Kansas 109S),"Panicovirus, Procedovirinae, Tombusviridae, Tolivirales, Tolucaviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4),"Prochlorococcus marinus subsp. pastoris, Prochlorococcus marinus, Prochlorococcus, Prochlorococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Macaca fuscata fuscata,"Macaca fuscata, Macaca, Cercopithecinae, Cercopithecidae, Cercopithecoidea, Catarrhini, Simiiformes, Haplorrhini, Primates, Euarchontoglires, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Aliarcobacter butzleri (strain RM4018),"Aliarcobacter, Arcobacteraceae, Campylobacterales, Epsilonproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Burkholderia pseudomallei (strain 668),"pseudomallei group, Burkholderia, Burkholderiaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Methylobacillus flagellatus (strain KT / ATCC 51484 / DSM 6875),"Methylobacillus, Methylophilaceae, Nitrosomonadales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Chrysanthemum virus B,"Carlavirus, Quinvirinae, Betaflexiviridae, Tymovirales, Alsuviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Desulfotomaculum reducens (strain MI-1),"Desulfotomaculum, Peptococcaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Bdellovibrio phage phiMH2K,"Bdellovibrio virus MH2K, Bdellomicrovirus, Gokushovirinae, Microviridae, Petitvirales, Malgrandaviricetes, Phixviricota, Sangervirae, Monodnaviria, Viruses"
Listeria welshimeri serovar 6b (strain ATCC 35897 / DSM 20650 / CIP 8149 / NCTC 11857 / SLCC 5334 / V8),"Listeria welshimeri, Listeria, Listeriaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Tetragenococcus halophilus,"Tetragenococcus, Enterococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Drosophila mauritiana,"melanogaster subgroup, melanogaster group, Sophophora, Drosophila, Drosophilini, Drosophilinae, Drosophilidae, Ephydroidea, Acalyptratae, Schizophora, Cyclorrhapha, Eremoneura, Muscomorpha, Brachycera, Diptera, Endopterygota, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Azotobacter vinelandii,"Azotobacter, Azotobacter group, Pseudomonadaceae, Pseudomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A),NotFound
Nitrobacter winogradskyi (strain ATCC 25391 / DSM 10237 / CIP 104748 / NCIMB 11846 / Nb-255),"Nitrobacter, Bradyrhizobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Paramecium bursaria Chlorella virus 1,"Chlorovirus, Phycodnaviridae, Algavirales, Megaviricetes, Nucleocytoviricota, Bamfordvirae, Varidnaviria, Viruses"
Xylella fastidiosa (strain M23),"Xylella, Xanthomonadaceae, Xanthomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Methanospirillum hungatei JF-1 (strain ATCC 27890 / DSM 864 / NBRC 100397 / JF-1),"Methanospirillum hungatei, Methanospirillum, Methanospirillaceae, Methanomicrobiales, Methanomicrobia, Stenosarchaea group, Euryarchaeota, Archaea, cellular organisms"
Paenibacillus sp. (strain JDR-2),"unclassified Paenibacillus, Paenibacillus, Paenibacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Staphylococcus carnosus (strain TM300),"Staphylococcus, Staphylococcaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Staphylococcus pseudintermedius (strain ED99),"Staphylococcus intermedius group, Staphylococcus, Staphylococcaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Lymnaea stagnalis,"Lymnaea, Lymnaeidae, Lymnaeoidea, Hygrophila, Panpulmonata, Euthyneura, Heterobranchia, Gastropoda, Mollusca, Lophotrochozoa, Spiralia, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264),"pseudomallei group, Burkholderia, Burkholderiaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Xylella fastidiosa (strain 9a5c),"Xylella, Xanthomonadaceae, Xanthomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Oxalobacter formigenes,"Oxalobacter, Oxalobacteraceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Chlorobium limicola (strain DSM 245 / NBRC 103803 / 6330),"Chlorobium, Chlorobium/Pelodictyon group, Chlorobiaceae, Chlorobiales, Chlorobia, Chlorobi, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms"
Korarchaeum cryptofilum (strain OPF8),"Candidatus Korarchaeum cryptofilum, Candidatus Korarchaeum, Candidatus Korarchaeota, TACK group, Archaea, cellular organisms"
Acinetobacter oleivorans (strain JCM 16667 / KCTC 23045 / DR1),"Acinetobacter oleivorans, Acinetobacter, Moraxellaceae, Moraxellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Human papillomavirus type 16,"Alphapapillomavirus 9, Alphapapillomavirus, Firstpapillomavirinae, Papillomaviridae, Zurhausenvirales, Papovaviricetes, Cossaviricota, Shotokuvirae, Monodnaviria, Viruses"
Staphylococcus aureus (strain Newman),"Staphylococcus, Staphylococcaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Cassava vein mosaic virus,"Cavemovirus, Caulimoviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae, Riboviria, Viruses"
Simian immunodeficiency virus (isolate MB66),"Simian immunodeficiency virus, Lentivirus, Orthoretrovirinae, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae, Riboviria, Viruses"
Methanobrevibacter smithii (strain ATCC 35061 / DSM 861 / OCM 144 / PS),"Methanobrevibacter, Methanobacteriaceae, Methanobacteriales, Methanobacteria, Methanomada group, Euryarchaeota, Archaea, cellular organisms"
Hydra vulgaris,"Hydra, Hydridae, Aplanulata, Anthoathecata, Hydroidolina, Hydrozoa, Cnidaria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Coprinus comatus,"Coprinus, Agaricaceae, Agaricales, Agaricomycetidae, Agaricomycetes, Agaricomycotina, Basidiomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Exiguobacterium sibiricum (strain DSM 17290 / CIP 109462 / JCM 13490 / 255-15),"Exiguobacterium sibiricum, Exiguobacterium, Bacillales Family XII. Incertae Sedis, Bacillales incertae sedis, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Treponema pallidum subsp. pallidum (strain SS14),"Treponema pallidum, Treponema, Treponemataceae, Spirochaetales, Spirochaetia, Spirochaetes, Bacteria, cellular organisms"
Saccharomyces cerevisiae,"Saccharomyces, Saccharomycetaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Cutibacterium acnes (strain DSM 16379 / KPA171202),"Cutibacterium, Propionibacteriaceae, Propionibacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Brassica oleracea var. viridis,"Brassica oleracea, Brassica, Brassiceae, Brassicaceae, Brassicales, malvids, rosids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Halorubrum pleomorphic virus 1,"Alphapleolipovirus HRPV1, Alphapleolipovirus, Pleolipoviridae, Haloruvirales, Huolimaviricetes, Saleviricota, Trapavirae, Monodnaviria, Viruses"
Hydrogenobaculum sp. (strain Y04AAS1),"unclassified Hydrogenobaculum, Hydrogenobaculum, Aquificaceae, Aquificales, Aquificae, Aquificae, Bacteria, cellular organisms"
Planococcus maritimus,"Planococcus, Planococcaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Serratia sp. (strain ATCC 39006),"unclassified Serratia, Serratia, Yersiniaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Enterobacteria phage GA,"Emesvirus japonicum, Emesvirus, Fiersviridae, Norzivirales, Leviviricetes, Lenarviricota, Orthornavirae, Riboviria, Viruses"
Cereibacter sphaeroides (strain ATCC 17029 / ATH 2.4.9),"Cereibacter, Rhodobacteraceae, Rhodobacterales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Hirschia baltica (strain ATCC 49814 / DSM 5838 / IFAM 1418),"Hirschia, Hyphomonadaceae, Hyphomonadales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / NCTC 9343 / Onslow),"Bacteroides, Bacteroidaceae, Bacteroidales, Bacteroidia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms"
Human coronavirus 229E,"Duvinacovirus, Alphacoronavirus, Orthocoronavirinae, Coronaviridae, Cornidovirineae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae, Riboviria, Viruses"
Brucella anthropi (strain ATCC 49188 / DSM 6882 / CCUG 24695 / JCM 21032 / LMG 3331 / NBRC 15819 / NCTC 12168 / Alc 37),"Brucella, Brucella/Ochrobactrum group, Brucellaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Human immunodeficiency virus type 1 group M subtype C (isolate 92BR025),"HIV-1 M:C, HIV-1 group M, Human immunodeficiency virus 1, Lentivirus, Orthoretrovirinae, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae, Riboviria, Viruses"
Orobanche minor,"Orobanche, Orobancheae, Orobanchaceae, Lamiales, lamiids, asterids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Bordetella pertussis (strain ATCC 9797 / DSM 5571 / NCTC 10739 / 18323),"Bordetella, Alcaligenaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Salmonella typhimurium,"Salmonella enterica I, Salmonella enterica, Salmonella, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Desulfococcus oleovorans (strain DSM 6200 / JCM 39069 / Hxd3),"Desulfosudis oleivorans, Desulfosudis, Desulfosudaceae, Desulfobacterales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Aspergillus sp. (strain MF297-2),"unclassified Aspergillus, Aspergillus, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Struthio camelus,"Struthio, Struthionidae, Struthioniformes, Palaeognathae, Aves, Coelurosauria, Theropoda, Saurischia, Dinosauria, Archosauria, Archelosauria, Sauria, Sauropsida, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Pseudomonas savastanoi pv. phaseolicola (strain 1448A / Race 6),"Pseudomonas savastanoi, Pseudomonas syringae group genomosp. 2, Pseudomonas syringae group, Pseudomonas, Pseudomonadaceae, Pseudomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Beet necrotic yellow vein virus (isolate Japan/S),"Benyvirus, Benyviridae, Hepelivirales, Alsuviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Vibrio vulnificus (strain CMCP6),"Vibrio, Vibrionaceae, Vibrionales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Influenza A virus (strain A/Equine/Jillin/1/1989 H3N8),"Alphainfluenzavirus, Orthomyxoviridae, Articulavirales, Insthoviricetes, Polyploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Potato virus S (strain Peruvian),"Carlavirus, Quinvirinae, Betaflexiviridae, Tymovirales, Alsuviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Cercospora nicotianae,"Cercospora, Mycosphaerellaceae, Mycosphaerellales, Dothideomycetidae, Dothideomycetes, dothideomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Lacticaseibacillus rhamnosus (strain ATCC 53103 / LMG 18243 / GG),"Lacticaseibacillus, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Escherichia phage P2,"Peduovirus, Peduovirinae, Myoviridae, Caudovirales, Caudoviricetes, Uroviricota, Heunggongvirae, Duplodnaviria, Viruses"
Suid herpesvirus 1 (strain Indiana-Funkhauser / Becker),"Suid alphaherpesvirus 1, Varicellovirus, Alphaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Xanthomonas campestris pv. vesicatoria (strain 85-10),"Xanthomonas euvesicatoria, Xanthomonas, Xanthomonadaceae, Xanthomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Plasmodium falciparum (isolate FC27 / Papua New Guinea),"Plasmodium (Laverania), Plasmodium, Plasmodiidae, Haemosporida, Aconoidasida, Apicomplexa, Alveolata, Sar, Eukaryota, cellular organisms"
Equine herpesvirus 4 (strain 1942),"Equid alphaherpesvirus 4, Varicellovirus, Alphaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Cocos nucifera,"Cocos, Attaleinae, Cocoseae, Arecoideae, Arecaceae, Arecales, commelinids, Petrosaviidae, Liliopsida, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Streptomyces antibioticus,"Streptomyces, Streptomycetaceae, Streptomycetales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Gluconobacter japonicus,"Gluconobacter, Acetobacteraceae, Rhodospirillales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Thermobaculum terrenum (strain ATCC BAA-798 / YNP1),"Thermobaculum, Chloroflexi incertae sedis, Chloroflexi, Terrabacteria group, Bacteria, cellular organisms"
Paenibacillus polymyxa (strain E681),"Paenibacillus, Paenibacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Aeromonas salmonicida (strain A449),"Aeromonas, Aeromonadaceae, Aeromonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Escherichia phage MS2,"Escherichia phage MS2, Levivirus, Leviviridae, Levivirales, Allassoviricetes, Lenarviricota, Orthornavirae, Riboviria, Viruses"
Cryptococcus neoformans var. neoformans serotype D (strain B-3501A),"Cryptococcus neoformans var. neoformans, Cryptococcus neoformans, Cryptococcus neoformans species complex, Cryptococcus, Cryptococcaceae, Tremellales, Tremellomycetes, Agaricomycotina, Basidiomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Petromyzon marinus,"Petromyzon, Petromyzontidae, Petromyzontiformes, Hyperoartia, Cyclostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Streptococcus pneumoniae (strain Hungary19A-6),"Streptococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Limosilactobacillus reuteri (strain ATCC 55730 / SD2112),"Limosilactobacillus, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Ateline herpesvirus 3,"Rhadinovirus, Gammaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757),"Chromobacterium, Chromobacterium group, Chromobacteriaceae, Neisseriales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Sugarcane streak virus (isolate South Africa),"Mastrevirus, Geminiviridae, Geplafuvirales, Repensiviricetes, Cressdnaviricota, Shotokuvirae, Monodnaviria, Viruses"
Kalanchoe daigremontiana,"Kalanchoe, Crassulaceae, Saxifragales, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
